,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11206,NA,NA,NA,NA,NA,NA,NA,NA
11207,NA,NA,NA,NA,NA,NA,NA,NA
11208,NA,NA,NA,NA,NA,NA,NA,NA
11209,NA,NA,NA,NA,NA,NA,NA,NA
11210,NA,NA,NA,NA,NA,NA,NA,NA
11211,NA,NA,NA,NA,NA,NA,NA,NA
11212,NA,NA,NA,NA,NA,NA,NA,NA
11213,NA,NA,NA,NA,NA,NA,NA,NA
11214,NA,NA,NA,NA,NA,NA,NA,NA
11215,NA,NA,NA,NA,NA,NA,NA,NA
11216,NA,NA,NA,NA,NA,NA,NA,NA
11217,NA,NA,NA,NA,NA,NA,NA,NA
11218,NA,NA,NA,NA,NA,NA,NA,NA
11219,NA,NA,NA,NA,NA,NA,NA,NA
11220,NA,NA,NA,NA,NA,NA,NA,NA
11221,NA,NA,NA,NA,NA,NA,NA,NA
11222,NA,NA,NA,NA,NA,NA,NA,NA
11223,NA,NA,NA,NA,NA,NA,NA,NA
11224,NA,NA,NA,NA,NA,NA,NA,NA
11225,NA,NA,NA,NA,NA,NA,NA,NA
11226,NA,NA,NA,NA,NA,NA,NA,NA
11227,NA,NA,NA,NA,NA,NA,NA,NA
11228,NA,NA,NA,NA,NA,NA,NA,NA
11229,NA,NA,NA,NA,NA,NA,NA,NA
11230,NA,NA,NA,NA,NA,NA,NA,NA
11231,NA,NA,NA,NA,NA,NA,NA,NA
11232,NA,NA,NA,NA,NA,NA,NA,NA
11233,NA,NA,NA,NA,NA,NA,NA,NA
11234,NA,NA,NA,NA,NA,NA,NA,NA
11235,NA,NA,NA,NA,NA,NA,NA,NA
11236,NA,NA,NA,NA,NA,NA,NA,NA
11237,NA,NA,NA,NA,NA,NA,NA,NA
11238,NA,NA,NA,NA,NA,NA,NA,NA
11239,NA,NA,NA,NA,NA,NA,NA,NA
11240,NA,NA,NA,NA,NA,NA,NA,NA
11241,NA,NA,NA,NA,NA,NA,NA,NA
11242,NA,NA,NA,NA,NA,NA,NA,NA
11243,NA,NA,NA,NA,NA,NA,NA,NA
11244,NA,NA,NA,NA,NA,NA,NA,NA
11245,NA,NA,NA,NA,NA,NA,NA,NA
11246,NA,NA,NA,NA,NA,NA,NA,NA
11247,NA,NA,NA,NA,NA,NA,NA,NA
11248,NA,NA,NA,NA,NA,NA,NA,NA
11249,NA,NA,NA,NA,NA,NA,NA,NA
11250,NA,NA,NA,NA,NA,NA,NA,NA
11251,NA,NA,NA,NA,NA,NA,NA,NA
11252,NA,NA,NA,NA,NA,NA,NA,NA
11253,NA,NA,NA,NA,NA,NA,NA,NA
11254,NA,NA,NA,NA,NA,NA,NA,NA
11255,NA,NA,NA,NA,NA,NA,NA,NA
11256,NA,NA,NA,NA,NA,NA,NA,NA
11257,NA,NA,NA,NA,NA,NA,NA,NA
11258,NA,NA,NA,NA,NA,NA,NA,NA
11259,NA,NA,NA,NA,NA,NA,NA,NA
11260,NA,NA,NA,NA,NA,NA,NA,NA
11261,NA,NA,NA,NA,NA,NA,NA,NA
11262,NA,NA,NA,NA,NA,NA,NA,NA
11263,NA,NA,NA,NA,NA,NA,NA,NA
11264,NA,NA,NA,NA,NA,NA,NA,NA
11265,NA,NA,NA,NA,NA,NA,NA,NA
11266,NA,NA,NA,NA,NA,NA,NA,NA
11267,NA,NA,NA,NA,NA,NA,NA,NA
11268,NA,NA,NA,NA,NA,NA,NA,NA
11269,NA,NA,NA,NA,NA,NA,NA,NA
11270,NA,NA,NA,NA,NA,NA,NA,NA
11271,NA,NA,NA,NA,NA,NA,NA,NA
11272,NA,NA,NA,NA,NA,NA,NA,NA
11273,NA,NA,NA,NA,NA,NA,NA,NA
11274,NA,NA,NA,NA,NA,NA,NA,NA
11275,NA,NA,NA,NA,NA,NA,NA,NA
11276,NA,NA,NA,NA,NA,NA,NA,NA
11277,NA,NA,NA,NA,NA,NA,NA,NA
11278,NA,NA,NA,NA,NA,NA,NA,NA
11279,NA,NA,NA,NA,NA,NA,NA,NA
11280,NA,NA,NA,NA,NA,NA,NA,NA
11281,NA,NA,NA,NA,NA,NA,NA,NA
11282,NA,NA,NA,NA,NA,NA,NA,NA
11283,NA,NA,NA,NA,NA,NA,NA,NA
11284,NA,NA,NA,NA,NA,NA,NA,NA
11285,NA,NA,NA,NA,NA,NA,NA,NA
11286,NA,NA,NA,NA,NA,NA,NA,NA
11287,NA,NA,NA,NA,NA,NA,NA,NA
